filename,result,iterations,time_sec
./aim/satisfied/aim-100-1_6-yes1-1.cnf,SAT,153,0.0186
./aim/satisfied/aim-100-1_6-yes1-2.cnf,SAT,107,0.0103
./aim/satisfied/aim-100-1_6-yes1-3.cnf,SAT,5003,0.9666
./aim/satisfied/aim-100-1_6-yes1-4.cnf,SAT,379,0.0443
./aim/satisfied/aim-100-2_0-yes1-1.cnf,SAT,2088,0.2440
./aim/satisfied/aim-100-2_0-yes1-2.cnf,SAT,162,0.0157
./aim/satisfied/aim-100-2_0-yes1-3.cnf,SAT,487,0.0647
./aim/satisfied/aim-100-2_0-yes1-4.cnf,SAT,1125,0.1734
./aim/satisfied/aim-100-3_4-yes1-1.cnf,SAT,2262,0.5442
./aim/satisfied/aim-100-3_4-yes1-2.cnf,SAT,4195,1.1955
./aim/satisfied/aim-100-3_4-yes1-3.cnf,SAT,654,0.1661
./aim/satisfied/aim-100-6_0-yes1-1.cnf,SAT,410,0.1281
./aim/satisfied/aim-100-6_0-yes1-2.cnf,SAT,834,0.2693
./aim/satisfied/aim-100-6_0-yes1-3.cnf,SAT,817,0.2778
./aim/satisfied/aim-100-6_0-yes1-4.cnf,SAT,161,0.0511
./aim/satisfied/aim-50-1_6-yes1-1.cnf,SAT,140,0.0061
./aim/satisfied/aim-50-1_6-yes1-2.cnf,SAT,559,0.0278
./aim/satisfied/aim-50-1_6-yes1-3.cnf,SAT,7,0.0004
./aim/satisfied/aim-50-1_6-yes1-4.cnf,SAT,246,0.0104
./aim/satisfied/aim-50-2_0-yes1-1.cnf,SAT,339,0.0185
./aim/satisfied/aim-50-2_0-yes1-2.cnf,SAT,342,0.0200
./aim/satisfied/aim-50-2_0-yes1-3.cnf,SAT,89,0.0049
./aim/satisfied/aim-50-2_0-yes1-4.cnf,SAT,164,0.0075
./aim/satisfied/aim-50-3_4-yes1-1.cnf,SAT,587,0.0666
./aim/satisfied/aim-50-3_4-yes1-2.cnf,SAT,793,0.0877
./aim/satisfied/aim-50-3_4-yes1-3.cnf,SAT,289,0.0296
./aim/satisfied/aim-50-3_4-yes1-4.cnf,SAT,43,0.0049
./aim/satisfied/aim-50-6_0-yes1-1.cnf,SAT,35,0.0057
./aim/satisfied/aim-50-6_0-yes1-2.cnf,SAT,193,0.0283
./aim/satisfied/aim-50-6_0-yes1-3.cnf,SAT,142,0.0222
./aim/satisfied/aim-50-6_0-yes1-4.cnf,SAT,74,0.0097
